,Overall,Bib,Name,Time
581,582,31609,Patricia Amorado,04:17:13
582,583,31229,Zack Box,04:17:18
583,584,30728,Jennifer Barden,04:17:24
584,585,31215,Joshua Denney,04:17:26
585,586,30826,Kenneth Schafer,04:17:29
586,586,31358,Miles Snelgrove,04:17:29
587,588,30786,Brittany Fruin,04:17:30
588,589,31661,Enrique Lopez,04:17:35
589,590,30903,Ryan Kelly,04:17:39
590,591,30838,Alyssa Esber,04:17:40
591,591,31954,Derek Thiele,04:17:40
592,593,31089,Whitney Mitchell,04:18:02
593,594,31271,Kristy Amerson,04:18:08
594,595,30811,Heather Sims,04:18:10
595,596,31436,Jacob Fischer,04:18:11
596,597,31656,Lindsey Urish,04:18:21
597,598,30954,Kristina Smithe,04:18:26
598,599,32144,Meghan Gallagher,04:18:33
599,600,30488,Kelly Farrow,04:18:36
600,600,30489,Steve Farrow,04:18:36
601,600,30097,[email protected] Delozier,04:18:36
602,603,33492,Victor Kunze,04:18:40
603,603,31285,Michael Mau,04:18:40
604,605,30685,Carlos Mancilla,04:18:43
605,606,31294,Creighton Kellum,04:18:52
606,607,31225,Marlene O'Laney,04:18:55
607,608,31652,Jennifer Leeper,04:19:02
608,609,32456,Brenda Brawley,04:19:06
609,610,31207,Patrick Corley,04:19:12
610,611,30625,Joe Sernett,04:19:15
611,612,30473,Christopher Gworek,04:19:19
612,613,31561,Kristin Shaffer,04:19:27
613,614,31852,Stephanie Sigmond,04:19:30
614,614,31095,Lorin Shimonek,04:19:30
615,616,30731,Brenna Lakeson,04:19:42
616,617,33637,Mauricio Sotelo,04:19:47
617,617,33613,Donald Lipper,04:19:47
618,619,31977,Jake Estienne,04:20:04
619,620,32892,Lottie Barton,04:20:22
620,621,30990,Emily White,04:20:28
621,622,33646,Deborah Gilligan,04:20:30
622,622,30505,Eric Kingara,04:20:30
623,624,31976,Jessica Wheeler,04:20:38
624,625,30421,Megan Sykes,04:20:42
625,625,31383,Ignacio Alvarado,04:20:42
626,627,30573,Lisa Prevedel,04:20:49
627,628,33536,Shane Schroeder,04:20:51
628,629,31765,Stephanie Unekis,04:20:52
629,630,31875,Olivia Bock,04:20:54
630,631,30611,Chris Bain,04:20:56
631,632,33719,James Marchesani,04:21:00
632,633,33531,Morgan Lawler,04:21:01
633,633,33477,Jed Henry,04:21:01
634,635,30768,Bethany Mills,04:21:03
635,636,31372,Cecilia Arango,04:21:04
636,637,31196,Angie Rieger,04:21:09
637,638,33575,Jeffrey Hodge,04:21:18
638,639,30345,Christopher Sexton,04:21:30
639,640,31246,Michael Bauman,04:21:33
640,641,30793,Chad Crawley,04:21:41
641,642,30464,Matt Southcott,04:21:46
642,643,31111,Taylor Hidalgo,04:21:50
